Mineral,Density,Hardness,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U,Np,Pu,Am,Cm,Bk,Cf,Es,Fm,Md,No,Lr,Rf,Db,Sg,Bh,Hs,Mt,Ds,Rg,Cn,Nh,Fl,Mc,Lv,Ts,Og
Prosperite,4.31,4.5,0.43,,,,,,,30.85,,,,,,,,,,,,8.59,,,,,,,,,,28.02,,,32.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protasite,5.827,,0.74,,,,,,,20.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.91,,,,,,,,,,,,,,,,,,,,,,,,,,
Protoanthophyllite,,6.0,0.25,,,,,,,47.9,,,0.17,19.13,0.47,27.68,,,,,,,,,,,0.07,4.25,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protoferro-anthophyllite,3.61,,0.21,,,,,,,39.62,,,,2.51,,23.18,,,,,,,,,,,5.67,28.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protojoseite,8.5,,,,,,,,,,,,,,,,,6.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protomangano-ferro-anthophyllite,3.5,5.5,0.21,,,,,,,39.62,,,,2.51,,23.18,,,,,,,,,,,5.67,28.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proudite,7.12,2.25,,,,,,,,,,,,,,,,10.58,,,,,,,,,,,,,1.23,,,,,11.66,,,,,,,,,,,,,0.11,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.91,43.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proustite,5.55,2.25,,,,,,,,,,,,,,,,19.44,,,,,,,,,,,,,,,,,15.14,,,,,,,,,,,,,,65.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Przhevalskite,,2.5,0.8,,,,,,,25.36,,,,,,,6.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.53,,,,,,,,,,47.17,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudo-autunite,3.28,2.5,1.9,,,,,,,39.78,,,,,,,10.62,,,,,6.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.82,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudoboleite,5.0,2.5,0.44,,,,,,,7.01,,,,,,,,,20.05,,,,,,,,,,,,13.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudobrookite,4.4,6.0,,,,,,,,33.55,,,,1.02,,,,,,,,,,15.06,,,,50.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudocotunnite,4.25,,,,,,,,,,,,,,,,,,33.19,,18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudograndreefite,7.0,2.5,,,,,,,,4.18,12.42,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudojohannite,4.31,,1.57,,,,,,,31.21,,,,,,,,3.59,,,,,,,,,,,,,11.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.08,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudolaueite,2.463,3.0,3.12,,,,,,,52.64,,,,,,,11.99,,,,,,,,,,10.63,21.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudomalachite,,,0.19,,,,,,,27.44,,,,,,,11.81,,,,,,,,,,,,,,60.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudorutile,3.8,3.5,,,,,,,,36.06,,,,,,,,,,,,,,35.97,,,,27.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudosinhalite,3.55,,0.32,,,,6.93,,,51.25,,,,15.57,25.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psilomelane,4.55,5.5,0.34,,,,,,,29.83,,,,,,,,,,,,,,,,,46.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pucherite,6.25,4.0,,,,,,,,19.76,,,,,,,,,,,,,,,15.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pumpellyite-Al,,5.5,0.75,,,,,,,46.48,,,0.05,1.21,13.55,17.48,,,,,,16.55,,,,,0.11,3.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pumpellyite-Fe++,3.2,5.5,0.62,,,,,,,42.86,,,,,11.12,17.36,,,,,,16.52,,,,,,11.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pumpellyite-Fe+++,3.2,5.5,0.8,,,,,,,44.6,,,,,10.74,16.78,,,,,,15.96,,,,,,11.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pumpellyite-Mg,3.2,5.5,0.86,,,,,,,47.59,,,,5.16,11.46,17.9,,,,,,17.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pumpellyite-Mn++,3.2,5.5,0.6,,,,,,,41.2,,,,1.2,5.34,16.69,,,,,,15.88,,,,,16.32,2.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Punkaruaivite,,,1.1,,1.51,,,,,52.16,,,,,,24.42,,,,,,,,20.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purpurite,3.4,4.5,,,,,,,,42.69,,,,,,,20.66,,,,,,,,,,36.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pushcharovskite,3.35,,1.75,,,,,,,38.18,,,,,,,,,,,,,,,,,,,,,27.57,,,,32.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Putoranite,4.48,4.5,,,,,,,,,,,,,,,,31.9,,,,,,,,,,33.33,,,34.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Putzite,,3.25,,,,,,,,,,,,,,,,20.4,,,,,,,,,,,,,32.81,,,7.76,,,,,,,,,,,,,,,39.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyatenkoite-Y,2.68,4.5,1.47,,,,,,,46.73,,,13.99,,,20.51,,,,,,,,5.83,,,,,,,,,,,,,,,,,7.57,,,,,,,,,,,,,,,,,,,,,,,,,1.91,,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyrargyrite,5.85,2.5,,,,,,,,,,,,,,,,17.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.75,,,,22.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyrite,5.01,6.25,,,,,,,,,,,,,,,,53.41,,,,,,,,,,46.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyroaurite,2.07,2.5,3.66,,,,,1.82,,55.61,,,,22.04,,,,,,,,,,,,,,16.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyrobelonite,5.377,3.5,0.26,,,,,,,20.3,,,,,,,,,,,,,,,12.93,,13.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyrochlore,5.3,5.25,0.21,,,,,,,30.52,1.34,,9.75,,,,,,,,,5.66,,,,,,,,,,,,,,,,,,,,,52.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyrochroite,3.26,2.75,2.27,,,,,,,35.97,,,,,,,,,,,,,,,,,61.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyrocoproite,2.97,,,,,,,,,38.26,,,3.93,16.61,,,21.16,,,,20.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyrolusite,4.73,6.25,,,,,,,,36.81,,,,,,,,,,,,,,,,,63.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyromorphite,6.85,3.75,,,,,,,,14.15,,,,,,,6.85,,2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyrope,3.74,7.5,,,,,,,,44.38,,,,12.27,11.42,19.37,,,,,,3.11,,0.3,,1.41,0.24,6.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyrophanite,4.51,5.0,,,,,,,,31.83,,,,,,,,,,,,,,31.75,,,36.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyrophosphite,2.75,,,,,,,,,38.97,,,0.8,0.51,,,21.56,,,,24.35,13.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyrophyllite,2.84,1.75,0.56,,,,,,,53.28,,,,,14.98,31.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyrosmalite-Fe,3.12,4.5,0.9,,,,,,,37.04,,,,0.23,,15.99,,,4.04,,,,,,,,3.65,38.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyrosmalite-Mn,3.12,4.5,0.56,,,,,,,31.36,,,,,,15.73,,,13.23,,,,,,,,29.74,9.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyrostilpnite,5.09,2.0,,,,,,,,,,,,,,,,17.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.75,,,,22.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyroxferroite,3.72,5.0,,,,,,,,36.42,,,,,,21.31,,,,,,,,,,,5.95,36.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyroxmangite,3.8,5.75,,,,,,,,36.58,,,,,,21.41,,,,,,,,,,,33.5,8.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyrrhotite,4.61,3.75,,,,,,,,,,,,,,,,37.67,,,,,,,,,,62.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyrrhotite+Chlorite,4.61,3.75,,,,,,,,,,,,,,,,37.67,,,,,,,,,,62.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qandilite,4.03,7.0,,,,,,,,35.56,,,,17.56,3.0,,,,,,,,,15.96,,,,27.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qaqarssukite-Ce,,3.5,,,,,,6.33,,25.29,5.05,,,,,,,,,,,2.01,,0.88,,,,,,,,,,,,,,,,3.23,,,,,,,,,,,,,,,,,,24.6,7.68,17.35,1.48,5.7,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qilianshanite,1.706,2.0,4.43,,,,5.94,6.6,,70.38,,,12.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qingheiite,3.718,5.5,,,,,,,,41.64,,,6.48,5.8,2.34,,20.15,,,,,0.87,,,,,17.87,4.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qitianlingite,6.42,5.5,,,,,,,,24.95,,,,,,,,,,,,,,,,,,17.42,,,,,,,,,,,,,,,28.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadratite,,3.0,,,,,,,,,,,,,,,,23.44,,,,,,,,,,,,,,,,,18.26,,,,,,,,,,,,,,26.29,21.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadridavyne,2.335,5.0,,,,,,,,35.97,,,8.34,,14.67,15.28,,0.58,12.21,,4.96,7.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadruphite-VII,3.12,5.0,,,,,,,,38.97,2.72,,23.06,1.74,,8.05,8.88,,,,,2.87,,13.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadruphite-VIII,3.12,5.0,,,,,,,,38.97,2.72,,23.06,1.74,,8.05,8.88,,,,,2.87,,13.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quartz,2.62,7.0,,,,,,,,46.74,,,,,,53.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queitite,6.07,4.0,,,,,,,,18.24,,,,,,6.4,,2.44,,,,,,,,,,,,,,9.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quenselite,6.842,2.5,0.32,,,,,,,15.43,,,,,,,,,,,,,,,,,17.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quenstedtite,2.14,2.5,3.48,,,,,,,60.68,,,,,,,,16.58,,,,,,,,,,19.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quetzalcoatlite,6.05,3.0,1.13,,,,,,,26.83,,,,,,,,,,,,,,,,,,,,,15.79,32.49,,,,,,,,,,,,,,,,,,,,,,23.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quintinite-2H,2.14,2.0,4.14,,,,,2.46,,62.38,,,,19.95,11.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quintinite-3T,2.14,2.0,4.14,,,,,2.46,,62.38,,,,19.95,11.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qusongite,,9.5,,,,,,6.02,,,,,,,,,,,,,,,,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTP,,,,,,,,,,32.74,,,,,,,12.67,,,,,,,19.6,,,,,,,,,,,,,,,34.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raadeite,,,1.72,,,,,,,51.85,,,,33.38,,,12.3,,,,,,,,,,0.22,0.23,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rabbittite,2.58,2.5,2.71,,,,,4.85,,47.39,,,,4.91,,,,,,,,8.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.05,,,,,,,,,,,,,,,,,,,,,,,,,,
Rabejacite,4.1,3.0,1.19,,,,,,,29.43,,,,,,,,4.21,,,,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.54,,,,,,,,,,,,,,,,,,,,,,,,,,
Radhakrishnaite,,,,,,,,,,,,,,,,,,4.88,5.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radiobarite,4.48,3.25,,,,,,,,27.42,,,,,,,,13.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radovanite,3.9,,0.73,,,,,,,30.56,,,,,,,,,,,,,,,,,,8.73,,,20.96,,,,39.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radtkeite,7.0,2.5,,,,,,,,,,,,,,,,7.74,4.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.32,,,,,,,,,,,,,,,,,,,,,,,,,,,72.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raguinite,6.4,,,,,,,,,,,,,,,,,19.77,,,,,,,,,,17.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raite,2.35,3.0,1.92,,,,,,,47.12,,,8.74,,,21.35,,,,,,,,,,,20.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajite,5.75,4.0,,,,,,,,20.06,,,,,,,,,,,,,,,,,,,,,15.94,,,,,,,,,,,,,,,,,,,,,,,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ralstonite,2.55,4.5,2.1,,,,,,,24.98,39.55,,5.98,6.32,21.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramanite-Cs,,,2.08,,,,13.97,,,49.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramanite-Rb,,,2.37,,,,15.92,,,56.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rambergite,,4.0,,,,,,,,,,,,,,,,36.86,,,,,,,,,63.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramdohrite,5.33,2.0,,,,,,,,,,,,,,,,20.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,,,,36.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rameauite,5.6,,0.89,,,,,,,22.87,,,,,,,,,,,3.85,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Rammelsbergite,7.1,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.14,,,,,71.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramsbeckite,3.39,3.5,1.88,,,,,,,38.54,,,,,,,,7.02,,,,,,,,,,,,,39.14,13.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramsdellite,4.37,3.0,,,,,,,,36.81,,,,,,,,,,,,,,,,,63.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rancieite,3.1,2.75,1.31,,,,,,,41.59,,,,,,,,,,,,6.51,,,,,50.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rankachite,4.5,2.5,0.94,,,,,,,29.97,,,,,,,,,,,,1.56,,,7.95,,,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
